Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Elisabet,Persson,Stationsvägen 67,Sandviken,51970,Sverige,SE,19420219-8976,+46,+46 (0)8 790 499 33,1942-02-19,True
Tove,Solheim,Nygårdspranget 867,Andreasvik,8060,Norge,NO,19870613-8762,+47,85 08 44 70,1987-06-13,True
Thomas,Lund,Kristiansenjordet 45,Hanneås,8274,Norge,NO,19700320-2690,+47,45411296,1970-03-20,True
Erik,Hansson,Bäckgatan 58,Alingsås,12490,Sverige,SE,19830519-6535,+46,0758-71 35 16,1983-05-19,True
Vilhelm,Andersson,Industristigen 406,Jönköping,76563,Sverige,SE,19480803-4501,+46,0622-434 03,1948-08-03,True
Susanna,Kinnunen,Ylä-Fallin polku 73,Jomala,51964,Finland,FI,19910207-838W,+358,+358 96 3102702,1991-02-07,True
Jens,Amundsen,Strandåsen 7,Siljenes,1270,Norge,NO,19420420-3441,+47,+47 19 43 55 81,1942-04-20,True
Erik,Brekke,Halvorsenringen 9,Steinarborg,1069,Norge,NO,19571227-5707,+47,30 55 00 50,1957-12-27,True
Steven,Duncan,Tammy Tunnel 053,East Hannah,14797,Danmark,DK,19961031-7261,+45,258.304.9570x9863,1996-10-31,True
Hanne,Hanssen,Engenstykket 6,Tovesand,2128,Norge,NO,19570421-6246,+47,956 06 364,1957-04-21,False
Åsa,Johansson,Genvägen 2,Halmstad,97775,Sverige,SE,19971201-8011,+46,08-402 14 19,1997-12-01,True
Tonya,Hamilton,Tyler Isle 421,West Miranda,88759,Danmark,DK,19740225-3950,+45,647.853.6693x9514,1974-02-25,True
Kjetil,Myklebust,Hauglandstubben 92,Håkonås,7452,Norge,NO,19630723-1223,+47,438 32 932,1963-07-23,True
Yvonne,Bishop,Mitchell Loaf 69805,Lake Jerryfort,53284,Danmark,DK,19700416-7670,+45,228-398-3395x83623,1970-04-16,True
Inger,Brekke,Vikstien 87,Jannehavn,8934,Norge,NO,19700314-6473,+47,92149186,1970-03-14,True
Solveig,Hedlund,Kyrkostigen 553,Västerås,14895,Sverige,SE,19980722-9023,+46,044-85 59 27,1998-07-22,True
Lennart,Andersson,Furutorget 29,Gävle,14749,Sverige,SE,19961229-5258,+46,+46 (0)8 477 733 58,1996-12-29,True
Susan,Johnson,Jackson Skyway 393,Comptonville,55496,Danmark,DK,19460720-4489,+45,978.337.4266x8739,1946-07-20,False
Håkon,Berg,Haugentoppen 17,Tveit,7216,Norge,NO,19411109-9317,+47,90877864,1941-11-09,True
Ingeborg,Lien,Solheimhagen 260,Bjørgvik,4682,Norge,NO,19590802-4870,+47,43340182,1959-08-02,True
Jonas,Möller,Idrottsgränd 11,Kristianstad,52519,Sverige,SE,19650101-7933,+46,0547-091 40,1965-01-01,True
Jessica,Holm,Industrigränd 67,Lidingö,67211,Sverige,SE,20000409-6110,+46,08-95 23 07,2000-04-09,True
Jens,Sivertsen,Hanssensvingen 3,Jensen,0448,Norge,NO,19880420-2661,+47,+4789680339,1988-04-20,True
Anette,Olsen,Arnesenbråten 5,Thomassen,6651,Norge,NO,19690205-4347,+47,+47 54 88 59 61,1969-02-05,True
Lina,Johansson,Storgatan 862,Södertälje,97502,Sverige,SE,19631208-3479,+46,0586-253 84,1963-12-08,True
Pirkko,Hautamäki,Granfeltinpolku 39,Hailuoto,72012,Finland,FI,19600224-283H,+358,+358 949724826,1960-02-24,True
Lennart,Jansson,Strandgränd 7,Sundsvall,39637,Sverige,SE,19841212-5070,+46,064-799 87 28,1984-12-12,True
Jonas,Berg,Stationstorget 09,Landskrona,25632,Sverige,SE,19710317-0116,+46,0122-988 83,1971-03-17,True
Finn,Karlsen,Tveitgrenda 07,Erikfjell,3396,Norge,NO,19970128-2441,+47,967 11 172,1997-01-28,True
Åsa,Karlsson,Backgränd 5,Östersund,64280,Sverige,SE,19510821-0262,+46,077-46 84 03,1951-08-21,True
Gerd,Helland,Strandlyngen 3F,Rasmussen,0046,Norge,NO,19870724-6680,+47,+4702044670,1987-07-24,True
Linda,Snyder,Jennifer Extensions 036,Lake James,48648,Danmark,DK,19730926-0937,+45,883.414.5504x28943,1973-09-26,True
Ingrid,Arnesen,Lundeløkka 76,Ingeborgvik,2803,Norge,NO,19521030-2624,47,+4705546896,1952-10-30,True
Gunilla,Andersson,Ringvägen 2,Skövde,16434,Sverige,SE,19991124-2770,+46,0436-54 77 68,1999-11-24,True
Joakim,Ellingsen,Svendsenkroken 1,Iversen,1606,Norge,NO,19690129-7419,+47,69308023,1969-01-29,True
Joseph,Lewis,Miller Courts 885,Taylorport,67291,Danmark,DK,19490615-5202,+45,423.813.4578,1949-06-15,True
Emma,Sundberg,Fabriksvägen 5,Linköping,89265,Sverige,SE,19550622-5841,+46,+46 (0)8 277 364 31,1955-06-22,True
Sven,Eriksson,Kyrkgatan 285,Alingsås,97008,Sverige,SE,19620619-2468,+46,08-433 550 48,1962-06-19,True
Eivind,Fredriksen,Rasmussenstubben 5D,Øyvindmark,6216,Norge,NO,19430601-5346,+47,+47 16 52 94 01,1943-06-01,True
Dan,Johansson,Nygatan 941,Karlskrona,44846,Sverige,SE,19521220-2130,+46,044-59 66 44,1952-12-20,True
Oliver,Forsman,Sahaajankatu 0,Aura,16446,Finland,FI,19530112-2881,+358,(+358) 984174265,1953-01-12,True
Bengt,Johansson,Parkstigen 378,Piteå,44818,Sverige,SE,19580215-7433,+46,020-635 35 76,1958-02-15,True
Magnus,Andreasson,Björktorget 001,Trollhättan,56551,Sverige,SE,19610214-1678,+46,074-120 02 68,1961-02-14,True
Ulf,Nilsson,Granvägen 5,Uppsala,40522,Sverige,SE,19630511-2969,+46,037-70 76 92,1963-05-11,True
Catarina,Nilsson,Industritorget 853,Jönköping,92849,Sverige,SE,19610213-3655,+46,013-947 49 19,1961-02-13,True
Jonas,Kristoffersen,Eidevika 1,Sverregrunn,7459,Norge,NO,19901201-7419,+47,96054928,1990-12-01,True
Einar,Jensen,Ødegårdberget 670,Andresen,3353,Norge,NO,19920825-8995,+47,45218058,1992-08-25,True
Ulla,Nurmi,Franzéninkuja 49,Pello,24532,Finland,FI,19930208-795T,+358,075 826 7682,1993-02-08,True
Kelly,Gilbert,Rivera Path 98923,South Janet,03310,Danmark,DK,19500917-8063,+45,745.465.6750x42870,1950-09-17,True
Matilda,Gustafsson,Trädgårdsgatan 4,Trelleborg,54524,Sverige,SE,19830408-4961,+46,08-811 838 15,1983-04-08,True
Åke,Söderlund,Backgatan 5,Helsingborg,71318,Sverige,SE,19620102-7756,+46,08-457 05 79,1962-01-02,True
Jessica,Smith,Jordan Meadow 9533,South Annton,35305,Danmark,DK,19961006-0087,+45,8028700194,1996-10-06,True
Johannes,Matilainen,Yrjö-Koskisen katu 5,Hämeenkyrö,79949,Finland,FI,19420917-0708,+358,+358071085539,1942-09-17,True
Daniel,Anderson,Randall Crest 89449,Debbiemouth,16917,Danmark,DK,19660912-6682,+45,(351)321-6237,1966-09-12,True
Björn,Engström,Åkerstigen 54,Kristianstad,22691,Sverige,SE,19590402-2686,+46,+46 (0)086 468 11,1959-04-02,True
Robert,Sanders,Sarah Extensions 546,New Kennethport,68743,Danmark,DK,19530225-7463,+45,303-281-7329,1953-02-25,True
Hannele,Palomäki,Louhikkotie 332,Loppi,06431,Finland,FI,19400428-1219,+358,+358 79 0373193,1940-04-28,True
Gustav,Ståhl,Björkgränd 309,Västerås,55690,Sverige,SE,19920331-1342,+46,021-110 28 05,1992-03-31,True
Ola,Pettersen,Nygårdvollen 209,Ahmed,0267,Nyrge,NO,19400812-7853,+47,03238535,1940-08-12,True
Ingrid,Jonsson,Ekgatan 7,Motala,40923,Sverige,SE,19711228-7428,+46,0582-24 63 70,1971-12-28,True
Sverre,Jørgensen,Strandløkka 27,Evahamn,5758,Norge,NO,19410531-3007,+47,42019462,1941-05-31,True
Johan,Sundqvist,Järnvägsgatan 6,Landskrona,12337,Sverige,SE,19630829-1708,+46,08-733 477 27,1963-08-29,True
Markus,Knudsen,Strandskogen 7,Kimeid,3345,Norge,NO,19511117-9584,+47,994 56 174,1951-11-17,True
Arild,Pedersen,Sætherhagen 6,Edvardsen,0810,Norge,NO,19931024-8436,+47,96441235,1993-10-24,True
Sofie,Larsson,Industrigränd 19,Växjö,93022,Sverige,SE,19651226-7769,+46,005-902 46 91,1965-12-26,True
Tore,Svendsen,Jacobsenengen 73,Jørgensen,4583,Norge,NO,19820923-6243,+47,94570719,1982-09-23,True
Janne,Hauge,Nielsenholtet 28B,Ingrideid,9892,Norge,NO,19540114-8446,+47,923 56 447,1954-01-14,True
Darlene,Gallegos,Smith Fords 8122,Port Justin,78047,Danmark,DK,19400711-3953,+45,(918)898-4408x67673,1940-07-11,True
Emelie,Gunnarsson,Industrigränd 906,Ängelholm,97642,Sverige,SE,19701018-4973,+46,08-570 645 25,1970-10-18,True
Christian,Linder,Åkerstigen 99,Lund,60629,Sverige,SE,19630413-5201,46,0131-75 76 70,1963-04-13,True
Philip,Karlsson,Ekgatan 2,Kalmar,20057,Sverige,SE,19941113-6265,+46,+46 (0)901 593 55,1994-11-13,True
Axel,Bengtsson,Parkvägen 42,Trollhättan,78315,Sverige,SE,19570425-4629,+46,08-461 176 06,1957-04-25,True
Mats,Nilsson,Storstigen 379,Skövde,21487,Sverige,SE,19900201-4424,+46,08-16 40 07,1990-02-01,True
Linnéa,Nilsson,Skolvägen 81,Lund,53199,Sverige,SE,19460429-8165,+46,+46 (0)291 558 19,1946-04-29,True
Olof,Lundmark,Aspstigen 58,Borlänge,55651,Sverige,SE,19640611-8851,+46,092-995 64 61,1964-06-11,True
Ann,Wright,Banks Corner 8211,Lake David,50142,Danmark,DK,19680223-0624,+45,860-621-9682x969,1968-02-23,True
Torsten,Nilsson,Stationsgatan 277,Mölndal,50777,Sverige,SE,19800712-6327,+46,+46 (0)576 450 26,1980-07-12,True
Seppo,Kolehmainen,Vesalankatu 84,Akaa,75033,Finland,FI,19671227-318S,+358,(+358) 411943414,1967-12-27,True
Folke,Nilsson,Idrottsgränd 16,Linköping,31736,Sverige,SE,19750106-8246,+46,033-64 55 42,1975-01-06,True
Lars,Gunnarsson,Gentorget 3,Norrköping,90824,Sverige,SE,19670526-7569,+46,0516-87 85 80,1967-05-26,True
Kåre,Jacobsen,Jenssentjernet 74D,Hauge,9633,Norge,NO,19470724-3642,+47,+4706636311,1947-07-24,True
Evert,Samuelsson,Kvarngränd 98,Lidingö,21246,Sverige,SE,19860810-2475,+46,+46 (0)8 590 458 19,1986-08-10,True
Birgit,Persson,Åkergränd 62,Göteborg,94776,Sverige,SE,19990524-0264,+46,0764-606 40,1999-05-24,True
Joakim,Eriksson,Gengatan 4,Karlstad,66805,Sverige,SE,19840628-4631,+46,087-63 83 69,1984-06-28,True
Torbjørn,Berge,Amundsenskogen 770,Linnvær,5082,Norge,NO,19650116-7575,+47,+47 41 53 96 53,1965-01-16,True
Johan,Gustavsson,Stationsgatan 93,Västerås,73885,Sverige,SE,19641019-3699,+46,090-78 98 91,1964-10-19,True
Benjamin,Allen,Brandi Course 31041,New Anthony,40702,Danmark,DK,19760520-2152,+45,818.814.4465x606,1976-05-20,True
Linnéa,Jansson,Järnvägstorget 34,Borås,80210,Sverige,SE,19660519-5650,+46,+46 (0)339 663 57,1966-05-19,True
Linus,Lundberg,Idrottsvägen 535,Skövde,85164,Sverige,SE,19500222-0388,+46,0215-97 62 23,1950-02-22,True
Simon,Forslund,Ringgatan 86,Karlskrona,40834,Sverige,SE,19410326-7191,+46,+46 (0)68 58 98 04,1941-03-26,True
Linnéa,Nyström,Backgatan 7,Linköping,49617,Sverige,SE,19880921-2559,+46,077-67 49 78,1988-09-21,True
Henry,Karlsson,Björkgatan 097,Sundsvall,26951,Sverige,SE,19430705-5040,+46,094-020 13 04,1943-07-05,True
Josefine,Olofsson,Kyrkgatan 394,Ängelholm,64611,Sverige,SE,19500603-3719,+46,0021-34 28 25,1950-06-03,True
Marianne,Ottosson,Kvarngatan 729,Norrköping,96627,Sverige,SE,19621012-6515,+46,+46 (0)44 41 82 55,1962-10-12,True
Lars,Davidsson,Trädgårdsvägen 2,Malmö,14708,Sverige,SE,19510221-9904,+46,08-661 527 22,1951-02-21,True
Heidi,Thomassen,Brekkeflata 4,Vegardsjøen,8635,Norge,NO,19980910-0738,+47,04 50 54 70,1998-09-10,True
Erik,Lunde,Knutsenhagen 02A,Eivindby,7896,Danmark,NO,19420526-8167,+47,99921704,1942-05-26,True
Christian,Haug,Svendsenskogen 3A,Elisabethfoss,8549,Norge,NO,19651229-1747,+47,91 54 40 68,1965-12-29,True
Thomas,Johansson,Villatorget 653,Jönköping,18282,Sverige,SE,19970624-4695,+46,08-493 329 76,1997-06-24,True
Wayne,Powell,Brittany Shoals 19437,South Alexandraborough,78396,Danmark,DK,19480801-7323,+45,001-642-763-6308x660,1948-08-01,True
Amber,Haley,Thomas Lodge 96181,Danielleton,97581,Danmark,DK,19490524-9803,+45,(302)647-1399x6652,1949-05-24,True
Gunnar,Olsson,Ängsgatan 081,Sundsvall,26649,Sverige,SE,19981013-1112,+46,0698-51 46 60,1998-10-13,True
Kirsten,Johannessen,Jensenringen 2,Madsen,5835,Norge,NO,19850520-9971,+47,+47 82 47 77 91,1985-05-20,True
Anneli,Karttunen,Veräjämäenkatu 522,Kaavi,25930,Finland,FI,19680901-2682,+358,+358353703479,1968-09-01,True
Inger,Carlsson,Skogsgatan 7,Ängelholm,95279,Sverige,SE,19540105-9609,+46,0040-565 96,1954-01-05,True
Jennifer,Clark,Pamela Plaza 559,Lake Audrey,35516,Danmark,DK,19820209-1828,+45,397.948.9072,1982-02-09,True
Henrik,Lien,Thomassengata 5,Gundersen,1952,Norge,NO,19470812-6508,+47,+47 66 28 69 64,1947-08-12,True
Mitchell,Duncan,Tyler Burg 2785,Hernandezburgh,26115,Danmark,DK,19420821-6573,+45,(774)793-2384x49603,1942-08-21,True
Samantha,Smith,Benjamin Knolls 0282,North Cameron,35193,Danmark,DK,19820905-6880,+45,+1-790-932-7974,1982-09-05,True
Alexa,Ball,Cooke Forge 381,Huffmanfurt,98578,Danmark,DK,19460928-3290,+45,+1-936-226-0298,1946-09-28,True
Brent,Brown,Pierce Divide 1543,Camachoview,63727,Danmark,DK,19821005-2287,+45,(931)928-3267x56431,1982-10-05,True
Linnéa,Johansson,Skogsgatan 0,Linköping,72756,Sverige,SE,19640926-1694,+46,+46 (0)068 714 94,1964-09-26,True
Priscilla,Wilson,Ashley Forges 486,Port Sean,69747,Danmark,DK,19560319-4491,+45,375-330-7570x7559,1956-03-19,True
Björn,Johansson,Storgatan 0,Växjö,28533,Sverige,SE,19770204-8442,+46,+46 (0)522 563 63,1977-02-04,True
Roy,Berge,Mathisenlia 2,Nygård,7907,Norge,NO,19490526-8139,+47,03218990,1949-05-26,True
Marte,Ellingsen,Sivertsenroa 40,Aasen,0429,Norge,NO,19950705-4934,+47,00 87 50 75,1995-07-05,True
Randi,Lunde,Ødegårdtjernet 852,Kristensen,1266,Norge,NO,19661203-9615,+47,405 81 139,1966-12-03,True
Heather,Deleon,James Ranch 7291,New Andrewmouth,79140,Danmark,DK,19801120-4067,+45,805-720-9670x92806,1980-11-20,True
Janne,Birkeland,Larsenmarka 94,Tveit,9793,Norge,NO,19651220-9303,+47,+47 44 87 98 66,1965-12-20,True
Per,Nielsen,Myklebustengen 9,Berg,9431,Norge,NO,19880521-7252,+47,29 73 40 69,1988-05-21,True
Sebastian,Brekke,Bergtunet 2,Vegardøy,2778,Norge,NO,19461215-2083,+47,31094115,1946-12-15,True
Margaretha,Nilsson,Trädgårdstorget 737,Södertälje,80639,Sverige,SE,19871224-7366,+46,+46 (0)493 063 42,1987-12-24,True
Lars,Håkansson,Storgatan 66,Västerås,31946,Sverige,SE,19651117-7384,+46,0228-75 42 08,1965-11-17,True
Märta,Magnusson,Stationsvägen 05,Sundsvall,50030,Sverige,SE,19640628-4545,+46,011-36 63 92,1964-06-28,True
Maria,Persson,Villavägen 8,Västerås,91164,Sverige,SE,19461111-9221,+46,08-824 00 36,1946-11-11,True
Joseph,Short,Elizabeth Keys 9703,Jaredstad,47657,Danmark,DK,19871012-2427,+45,279.242.8327,1987-10-12,True
Reidun,Ali,Hagenlunden 4,Larsås,6823,Norge,NO,19770105-6817,+47,56 16 65 44,1977-01-05,True
Victoria,Holmgren,Fabriksstigen 208,Luleå,37890,Sverige,SE,19620312-3014,+46,073-443 14 01,1962-03-12,True
Mikael,Rautio,Lemunpolku 156,Oripää,10291,Finland,FI,19491215-321L,+358,0450552527,1949-12-15,True
Emilie,Solberg,Hagenstien 83,Heidibø,3841,Norge,NO,19721108-6843,+47,25 36 47 15,1972-11-08,True
Sara,Arnesen,Lieroa 5,Gunnarstrand,3939,Norge,NO,19960710-8870,+47,08 98 09 15,1996-07-10,True
Tommy,Lindberg,Granstigen 677,Varberg,83707,Sverige,SE,19591223-8371,+46,08-955 53 89,1959-12-23,True
Ole,Vik,Myklebusttunet 7A,Haug,1590,Norge,NO,19621227-9074,+47,964 98 828,1962-12-27,True
Jennifer,Williams,David Row 44770,Port Mary,87235,Danmark,DK,19420110-8427,+45,001-301-912-7110x46362,1942-01-10,True
Britt,Amundsen,Jensenstien 48,Jensen,3363,Norge,NO,19881228-8593,+47,407 16 218,1988-12-28,True
Kjell,Jenssen,Edvardsenekra 2,Kimeid,1449,Norge,NO,19970617-1981,+47,+4720927390,1997-06-17,True
Inge,Blomberg,Skolvägen 9,Landskrona,32012,Sverige,SE,19551015-8696,+46,08-06 91 19,1955-10-15,True
Monica,Andersson,Parkvägen 8,Stockholm,66617,Sverige,SE,19990701-1686,+46,0797-52 47 82,1999-07-01,True
Fredrik,Strandberg,Industrivägen 633,Alingsås,82348,Sverige,SE,19650624-3385,+46,054-924 09 03,1965-06-24,True
Robin,Nilsson,Stationstorget 20,Örnsköldsvik,76108,Sverigep,SE,19430127-0395,+46,08-494 71 22,1943-01-27,True
Lise,Andersen,Jakobsenlunden 6,Kårestrøm,8470,Norge,NO,19710522-6110,+47,45163719,1971-05-22,True
Kristian,Strömberg,Industrigränd 1,Trollhättan,31806,Sverige,SE,19830314-3979,+46,0731-447 16,1983-03-14,True
Tove,Engen,Hansenjordet 27,Tonevær,8295,Norge,NO,19820524-6240,+47,92632152,1982-05-24,True
Eva,Nilsson,Aspgränd 169,Sundsvall,20640,Sverige,SE,19531018-5271,+46,08-44 16 64,1953-10-18,True
Hannah,Parker,Waller Fort 327,Williamsside,40506,Danmark,DK,19990220-1133,+45,001-893-885-6755,1999-02-20,True
Lovisa,Larsson,Björkvägen 1,Karlskoga,93340,Sverige,SE,19541024-6989,+46,+46 (0)815 930 88,1954-10-24,True
Geir,Martinsen,Hagengjerdet 6,Næss,2117,Norge,NO,19601210-9592,47,+4773946527,1960-12-10,True
Margareta,Johansson,Kyrkostigen 5,Karlstad,33359,Sverige,SE,19430113-0823,+46,0599-40 09 94,1943-01-13,True
Hanna,Sørensen,Ellingsenskrenten 8,Monicaberg,2162,Norge,NO,19951020-1154,+47,58986187,1995-10-20,True
Thomas,Lie,Martinsentoppen 1A,Jakobsen,8883,Norge,NO,19751207-7412,+47,95 34 72 40,1975-12-07,True
Vanessa,Potts,Alexander Estate 99039,Lake Jessica,09846,Danmark,DK,19771009-7881,+45,433.423.6633x615,1977-10-09,True
Elisabet,Andersson,Furustigen 4,Växjö,97530,Sverige,SE,19740410-6722,+46,0300-989 71,1974-04-10,True
Elise,Eriksson,Strandvägen 41,Östersund,94352,Sverige,SE,19701214-0107,+46,+46 (0)186 421 53,1970-12-14,True
Karin,Nilsson,Kvarngatan 4,Nyköping,35058,Sverige,SE,19531206-1231,+46,0431-206 73,1953-12-06,True
Elisabeth,Andersson,Björkvägen 1,Mölndal,97734,Sverige,SE,19680606-6737,+46,0688-231 38,1968-06-06,True
Laura,Ikonen,Puuskakatu 0,Pirkkala,89971,Finland,FI,19581106-2301,+358,+358 402208724,1958-11-06,True
Viktoria,Hansson,Gengatan 23,Östersund,88091,Sverige,SE,19520426-8987,+46,0269-90 80 71,1952-04-26,True
Frida,Lundin,Parkstigen 35,Jönköping,68348,Sverige,SE,19580305-0347,+46,+46 (0)439 691 34,1958-03-05,True
Birgitta,Johansson,Idrottsgränd 48,Nyköping,83772,Sverige,SE,19530702-8302,+46,016-07 70 20,1953-07-02,True
Nina,Hanssen,Tangenstranda 02,Nielsen,7429,Norge,NO,19790408-2839,+47,+4786551712,1979-04-08,True
Jenny,Larsson,Strandgatan 2,Norrköping,95162,Sverige,SE,19660315-1462,+46,0304-37 13 37,1966-03-15,True
Maria,Karlsson,Idrottsvägen 4,Umeå,58686,Norge,SE,19810208-7816,+46,0444-42 00 05,1981-02-08,True
Emanuel,Stenberg,Parkgatan 06,Karlskrona,32303,Sverige,SE,19440313-6085,+46,+46 (0)240 715 16,1944-03-13,True
Lena,Lundkvist,Bäckvägen 045,Sandviken,14373,Sverige,SE,19681220-3210,+46,+46 (0)328 444 07,1968-12-20,True
Joakim,Ødegård,Rønningspranget 5F,Eide,8392,Norge,NO,19440826-2355,+47,73399248,1944-08-26,True
Sofie,Ruud,Amundsenalléen 975,Annagrunn,2831,Norge,NO,19570117-2745,+47,26 64 23 73,1957-01-17,True
Jonas,Andersson,Ringstigen 034,Sundsvall,31775,Sverige,SE,19410707-4462,+46,+46 (0)38 11 17 30,1941-07-07,True
Kristina,Andersson,Nygränd 08,Motala,91630,Sverige,SE,19461016-5354,+46,099-41 20 57,1946-10-16,True
James,Pena,Haynes Square 4978,Allenshire,62073,Danmark,DK,19521117-5312,+45,+1-457-435-0711,1952-11-17,True
Ingegerd,Johansson,Industrigatan 25,Karlskrona,14539,Sverige,SE,19611213-9298,+46,08-974 213 60,1961-12-13,True
Kimberly,Holland,Bridget Circle 92924,East Brian,73149,Danmark,DK,19630916-4050,+45,373-314-6298x541,1963-09-16,True
Robin,Johansson,Genvägen 9,Örebro,36228,Sverige,SE,19870912-5163,+46,0769-18 50 54,1987-09-12,True
Anneli,Salo,Pyörökiventie 710,Laukaa,49977,Finland,FI,19580312-2740,+358,0469073870,1958-03-12,True
Ida,Mikkelsen,Berntsenringen 90B,Annhavn,5201,Norge,NO,19460307-6440,+47,92315087,1946-03-07,True
Linus,Lundberg,Åkergatan 6,Borlänge,42781,Sverige,SE,19790905-6335,+46,+46 (0)535 762 81,1979-09-05,True
Laila,Lindholm,Skolgatan 938,Örnsköldsvik,93864,Sverige,SE,19490731-2732,+46,08-677 308 49,1949-07-31,True
Monica,Lundberg,Nyvägen 13,Kalmar,87868,Sverige,SE,19891123-1401,+46,08-842 917 11,1989-11-23,True
Hanna,Kristoffersen,Sørensenekra 1,Cathrinesand,1218,Norge,NO,19401220-1196,+47,39 36 49 06,1940-12-20,True
Øyvind,Rønning,Sandvikhøgda 93G,Erlingvik,1838,Norge,NO,19681123-5839,+47,+47 66 08 11 13,1968-11-23,True
Robert,Ellingsen,Kristoffersenflata 20,Hagen,2969,Norge,NO,19710330-8874,+47,91895386,1971-03-30,True
Ulla,Laakso,Veräjämäenbulevardi 78,Viitasaari,06990,Finland,FI,19760803-511U,+358,+358 475904162,1976-08-03,True
Anna,Gustavsson,Genstigen 036,Nyköping,23103,Sverige,SE,19500901-6646,+46,08-275 933 71,1950-09-01,True
Patricia,Arias,Morgan Coves 302,Lake Deborah,85094,Danmark,DK,19800302-3737,+45,(922)856-6427,1980-03-02,True
Ingrid,Johnsson,Ringvägen 034,Ängelholm,84382,Sverige,SE,19530121-5876,+46,+46 (0)413 265 46,1953-01-21,True
Virpi,Koskinen,Ilveskatu 75,Vimpeli,95570,Finland,FI,19410605-223R,+358,(+358) 724448109,1941-06-05,True
Pål,Aune,Myklebusthaugen 8,Grovær,4079,Norge,NO,19430925-7247,+47,99 86 91 87,1943-09-25,False
Britt-Marie,Karlsson,Strandvägen 505,Lund,58681,Sverige,SE,19770730-6761,+46,08-39 39 17,1977-07-30,True
Siri,Johansen,Martinsenroa 1,Johannessen,4109,Norge,NO,19661015-4355,+47,77 39 24 47,1966-10-15,True
Øyvind,Madsen,Nygårdhøgda 1,Jørgensen,6777,Norge,NO,19690814-8305,+47,68 11 11 14,1969-08-14,False
John,Rowe,Joseph Knolls 6631,Lisamouth,40935,Danmark,DK,19650424-7170,+45,+1-412-900-2083x128,1965-04-24,True
Trine,Gundersen,Madseneggen 6,Sigurdhavn,8726,Norge,NO,19540820-8076,+47,432 61 705,1954-08-20,True
Åke,Karlsson,Industristigen 890,Kalmar,76994,Sverige,SE,19640102-9471,+46,08-253 950 09,1964-01-02,True
Robert,Eriksson,Storgatan 75,Växjö,13683,Sverige,SE,20001204-6490,+46,+46 (0)8 278 440 99,2000-12-04,True
Julie,Nilsen,Haugebråten 3A,Kimby,7640,Norge,NO,19821018-2194,+47,+47 18 52 88 25,1982-10-18,True
Tellervo,Korhonen,Taimistonbulevardi 29,Siikajoki,85627,Finland,FI,19450116-797H,358,0981480076,1945-01-16,True
Linda,Jones,Jeremy Extensions 8972,Mayomouth,89485,Danmark,DK,19990309-3781,+45,307-471-7982x63703,1999-03-09,True
Trine,Abrahamsen,Mikkelsenkollen 09,Gundersen,1818,Norge,NO,19880711-4856,+47,+47 29 67 86 53,1988-07-11,True
Marcus,Olofsson,Nyvägen 896,Borlänge,53595,Sverige,SE,19811224-3016,+46,08-78 19 49,1981-12-24,True
Ruth,Pettersson,Strandvägen 200,Helsingborg,35343,Sverige,SE,19980102-7505,+46,08-967 054 12,1998-01-02,True
Lena,Haglund,Stationsvägen 437,Nyköping,34471,Sverige,SE,19540123-6381,+46,08-53 98 19,1954-01-23,True
Aulis,Koivula,Birger Kaipiaisen bulevardi 040,Savonlinna,69911,Finland,FI,19700204-081C,+358,+358 227560132,1970-02-04,True
Rodney,Hernandez,Carr Station 25484,Carolineberg,06849,Danmark,DK,19981108-5433,+45,001-383-447-3437x9170,1998-11-08,True
Aud,Lund,Mathisentoppen 3,Bjørnfjord,9254,Norge,NO,19630131-2747,+47,92 92 94 35,1963-01-31,True
Albin,Eriksson,Skolgatan 12,Växjö,24089,Sverige,SE,19671015-8448,+46,0610-102 90,1967-10-15,True
Kurt,Olsson,Kyrkogränd 885,Varberg,73093,Sverige,SE,19821010-1650,+46,+46 (0)12 71 30 95,1982-10-10,True
Matilda,Lindström,Villavägen 917,Lidingö,83163,Sverige,SE,20000514-8163,+46,+46 (0)694 274 93,2000-05-14,True
Ester,Henriksson,Villavägen 662,Mölndal,54115,Sverige,SE,19690403-0912,+46,+46 (0)8 750 996 07,1969-04-03,True
Eivind,Bakke,Jørgensenroa 6,Nygård,2168,Norge,NO,19950929-9639,+47,+47 10 83 23 22,1995-09-29,True
Kathryn,Soto,Kline Stravenue 6342,Petersonborough,37966,Danmark,DK,19410111-2530,+45,001-502-352-4315x195,1941-01-11,True
Christopher,Robinson,Martin Knoll 38704,Diazberg,81791,Danmark,DK,19480713-6474,+45,+1-906-513-7027x3215,1948-07-13,True
Dalton,Burns,Jonathan Centers 5589,Greenfurt,59924,Danmark,DK,19540926-4777,+45,7832979492,1954-09-26,True
Airi,Hämäläinen,Saanatunturinkatu 45,Sund,62401,Finland,FI,19890329-826U,+358,+358 09 6661318,1989-03-29,True
Destiny,Holmes,Sandra Locks 37063,West Jaredberg,46458,Danmark,DK,19980222-3478,+45,7256654305,1998-02-22,True
Anna,Norberg,Nygatan 8,Alingsås,45012,Sverige,SE,19671113-0705,+46,+46 (0)110 615 27,1967-11-13,True
Nils,Jonasson,Villagränd 8,Örebro,86193,Sverige,SE,19990224-8441,+46,08-72 21 16,1999-02-24,True
